user_id,gcn2d_x,gcn2d_y,cluster
2360,0.19582102,0.90913945,0
3046,0.6301571,1.7098894,0
9774,0.19787243,0.925813,0
10178,0.26980945,1.331564,0
11552,-2.1819487,-5.4809813,1
12750,0.39615577,1.1108156,0
13243,0.19273952,0.89324147,0
22713,-2.7349725,-1.5997472,1
23803,0.66957617,2.2242224,0
29703,-1.1187037,-0.059942547,0
33243,0.3893864,0.759348,0
36823,-2.1819487,-5.4809813,1
51943,0.19582102,0.90913945,0
52483,0.68646544,2.5248084,0
53963,-3.5533817,-1.4068822,1
61623,0.7649504,1.0332559,0
69053,0.5115202,2.27228,0
383373,-2.3819284,-4.302574,1
428333,-2.1819487,-5.4809813,1
465973,-2.8466227,-0.55483896,1
566923,-1.0703664,-2.9256237,1
612473,-0.14779332,4.41252,0
621573,1.8714626,6.0578537,0
621713,-4.0412903,-3.4529703,1
624413,-3.1439855,-4.6443048,1
629133,-2.1819487,-5.4809813,1
640893,-3.1620758,-2.8303347,1
645503,-2.1819487,-5.4809813,1
647403,0.19582102,0.90913945,0
651403,0.67144626,0.56621206,0
676573,-2.1819487,-5.4809813,1
682473,-5.076044,-1.9878856,1
685063,-2.1819487,-5.4809813,1
717363,-1.0378623,-1.2117528,1
718713,0.43604946,1.0198108,0
742143,0.53430736,6.355923,0
754864,-2.6595001,-3.000524,1
759251,-5.108872,3.1929083,0
762306,-0.41573802,-1.6433624,1
775142,0.67997044,2.2146354,0
784202,0.0037903774,-0.6483076,0
786764,-0.5028563,2.2527394,0
788098,0.36746138,1.6406912,0
788524,1.2907054,5.927797,0
791766,-2.1819487,-5.4809813,1
797835,0.38894337,1.5518239,0
797975,0.84792286,2.5429692,0
803371,0.38433146,0.74600655,0
806689,-2.0913432,-1.069565,1
807095,-3.3108463,1.0973552,0
810424,-1.5892241,1.7275219,0
811350,-5.2683215,-4.2895412,1
814256,-2.1819487,-5.4809813,1
815031,-2.1819487,-5.4809813,1
816653,-2.9849217,-0.24764942,1
819284,0.4241265,1.597368,0
821351,-1.0791857,1.8708187,0
851361,-0.60899526,1.2066365,0
872261,-3.1423862,-0.012922461,0
939091,-0.36389107,3.2823734,0
950531,-1.4074852,0.20832671,0
972651,-3.1937342,2.5719295,0
1004331,0.43061462,2.414791,0
1044241,0.12536462,2.721508,0
1057511,1.0236291,3.0459504,0
1082221,0.1863066,0.50790405,0
1125071,-2.6595001,-3.000524,1
1171621,0.64570194,3.076805,0
1175221,-3.1439855,-4.6443048,1
1225461,-0.6463912,-2.8677769,1
1239971,-2.3819284,-4.302574,1
1291181,-1.7851415,-2.8246014,1
1344951,2.060995,5.183672,0
1367531,-0.21695118,2.1765256,0
1429761,0.20327881,0.29165724,0
1435461,2.0705569,6.6613975,0
1467621,-4.3614388,-1.5031176,1
1501641,-2.5872238,-3.84693,1
1518261,-1.4255071,-0.3905754,0
1586161,-2.1819487,-5.4809813,1
1592781,-0.15728524,-1.458361,1
1652541,0.09806696,7.118593,0
1688351,0.8384426,1.3412356,0
1717291,-2.1819487,-5.4809813,1
1767741,-2.1819487,-5.4809813,1
1775731,-2.3819284,-4.302574,1
1797991,-4.221212,-2.0949252,1
1877831,-2.1819487,-5.4809813,1
1914301,0.3086209,-1.0097144,0
1917731,0.08685548,1.8970802,0
1947301,0.61971635,3.3311207,0
1956441,-0.6447369,2.6980104,0
1961491,-0.61303425,-0.091919556,0
2032411,1.5263369,5.6370487,0
2063181,-0.7818939,-1.6067442,1
2097571,0.20595086,6.133232,0
2188001,0.152498,-0.6846495,0
2195241,0.6364595,1.846337,0
2202891,0.36313155,1.1024785,0
2224271,0.3158623,2.235127,0
2315131,-1.2979605,-3.21768,1
2384071,0.42247158,1.0811186,0
2425151,-3.259919,-3.6892672,1
2425231,-4.7608633,-4.73054,1
2467791,0.6059754,8.715885,0
2718501,0.44670427,3.7898219,0
2726611,-2.3342402,0.34552088,0
2729061,0.35783857,1.5229822,0
2735591,-0.35132426,1.0588431,0
2768501,1.9951895,6.3851714,0
2836421,-2.5872238,-3.84693,1
2884771,-5.671727,-2.0796564,1
2890961,-1.5124046,-1.6439567,1
2931551,0.45023763,1.9164914,0
2955691,0.20416209,-1.201044,0
3058701,0.45994562,1.6562101,0
3062691,0.19273952,0.89324147,0
3108351,0.25977397,4.301865,0
3246961,0.19582102,0.90913945,0
3459051,5.9004354,14.113119,0
3564041,-2.1819487,-5.4809813,1
3617901,-2.1819487,-5.4809813,1
3630501,-1.8194621,0.12954947,0
3632161,0.63450366,2.3253753,0
3711001,2.193692,5.3814316,0
3991341,0.5523538,1.590165,0
4012161,0.7593134,6.3180866,0
4039221,-0.6457054,-3.9912372,1
4072401,-2.8347452,-0.54408497,1
4077671,0.60876715,2.8978207,0
4491811,0.3764419,2.565829,0
4507521,0.3999681,1.1895874,0
4553061,3.853519,9.283745,0
4755321,0.49501675,0.7309848,0
4802931,-2.5872238,-3.84693,1
4848301,2.6265,3.757388,0
4898091,-0.9470017,3.8357084,0
4902991,0.8500514,2.9354596,0
4906211,0.72375035,1.9239234,0
4937061,-1.179714,-0.876639,0
4969501,-4.699733,-3.4608238,1
4970411,0.45494273,6.9493475,0
5026541,0.38433146,0.74600655,0
5031151,0.68544674,4.753667,0
5045421,-0.5151944,1.1510488,0
5120691,-2.699308,4.3718348,0
5158981,0.19273952,0.89324147,0
5360012,2.0604143,7.008899,0
5392522,0.4547749,-2.0623257,1
5404442,-3.4723914,-2.2439065,1
5477342,0.44739833,-1.3390651,0
5489672,-1.7892051,-0.58882135,0
5516892,0.29662862,1.3679627,0
5526332,0.38433146,0.74600655,0
5558312,0.46904755,1.5427272,0
5564122,0.19273952,0.89324147,0
5575662,-0.6463912,-2.8677769,1
5611932,-3.5856807,-1.8079618,1
5618162,-1.2872237,1.2321339,0
5641582,0.46869826,2.4273586,0
5684122,-2.543761,-0.8202314,1
5689782,-1.3449674,-3.308587,1
5695032,-2.2393107,1.7827529,0
5703342,-2.3819284,-4.302574,1
5741722,-2.6523893,-0.75348824,1
5774252,0.91128916,2.1125183,0
5780202,0.65857375,1.8481214,0
5794002,0.30470493,2.2323542,0
5811822,-2.1819487,-5.4809813,1
5849252,-0.97690755,-1.2808065,1
5850542,-0.6551282,3.1476374,0
5907272,0.0013894868,0.22543302,0
5940442,0.68646544,2.5248084,0
5952352,-1.8334687,-1.4110733,1
5958242,-1.1353514,0.40009147,0
5985402,0.19273952,0.89324147,0
5988062,-4.17494,4.2538943,0
5988202,0.40225422,1.9603745,0
5988592,-2.1819487,-5.4809813,1
5998492,-1.2701352,2.6095881,0
6004542,-0.27154523,-0.11208691,0
6021882,0.3721412,1.1657462,0
6038562,0.10963737,2.5756407,0
6039912,-0.5641339,-4.191775,1
6073052,0.6879486,1.7813367,0
6083342,-4.4622293,-3.896306,1
6097272,1.3537164,4.2525687,0
6102652,0.15361549,0.01531477,0
6107302,0.723348,4.433636,0
6107422,0.6018571,1.4499106,0
6111952,0.6357538,2.6120045,0
6133472,-0.18624876,0.6577131,0
6134882,1.564853,5.9128537,0
6174712,0.85644317,2.6764534,0
6251432,-1.123942,-3.1611707,1
6266142,0.4555502,0.68383753,0
6273392,-0.61303425,-0.091919556,0
6278942,-2.1819487,-5.4809813,1
6284782,0.541376,1.91499,0
6320792,-0.0776341,-1.08416,0
6326912,0.5745448,2.578135,0
6406322,0.4936616,1.8120021,0
6433472,1.8292676,6.901047,0
6449282,-2.1819487,-5.4809813,1
6456052,0.24878773,0.5788332,0
6466252,0.50275373,0.4889267,0
6476742,-2.1819487,-5.4809813,1
6487292,0.24438764,2.4035153,0
6509832,-2.0740306,1.3106393,0
6516132,-2.5120208,0.660044,0
6531902,1.2597189,5.561341,0
6576492,-4.0205374,-2.119141,1
6583082,-0.16022998,0.43382704,0
6595682,-0.46407872,2.772788,0
6599142,0.19273952,0.89324147,0
6604372,1.0665505,2.2601755,0
6643502,0.6476293,1.5977079,0
6668572,0.19273952,0.89324147,0
6691762,-0.45013416,-1.0648371,0
6692952,0.40071714,0.81060815,0
6700382,0.2967743,0.89052135,0
6735142,-2.1819487,-5.4809813,1
6751502,-4.1089797,-1.8779186,1
6778812,0.1941498,-0.21913728,0
6794502,-2.080273,0.670129,0
6811252,0.97085506,1.7968446,0
6870172,-2.5872238,-3.84693,1
6877872,1.1854401,0.69886553,0
6942722,-2.5872238,-3.84693,1
6965382,0.91352326,0.5217711,0
7005172,0.8595497,2.6305814,0
7009202,0.981325,3.3606355,0
7096802,-2.9904146,-0.37877586,1
7101812,0.43604946,1.0198108,0
7119692,0.83206666,2.1278021,0
7173232,-2.3056304,-0.75527024,1
7215512,2.289828,7.7333446,0
7230172,-5.0516624,-3.7122917,1
7262682,0.5930398,2.3643782,0
7278382,1.007428,3.1341672,0
7281192,-1.355943,-0.30497295,0
7309052,0.17461604,1.2964321,0
7318362,0.19787243,0.925813,0
7334062,-2.1819487,-5.4809813,1
7349062,-0.89729136,-1.4443609,1
7400692,-2.5872238,-3.84693,1
7401212,-1.3644303,-4.4588995,1
7421502,0.67318773,1.441885,0
7424642,-0.3783108,2.862929,0
7431072,0.38433146,0.74600655,0
7438552,0.9298665,-0.066090815,0
7474622,-0.13279928,1.3341714,0
