user_id,gcn2d_x,gcn2d_y,cluster
3336,3.8088286,1.6227976,0
10630,3.5732434,1.3073652,0
12428,-3.1415415,0.74995244,1
13261,-0.9194561,2.0872383,1
59173,-1.0015467,2.5232995,1
66003,0.5335836,-2.2934973,0
66873,-1.6232911,2.4040186,1
69053,-0.83293736,2.3498065,1
354103,-1.575671,1.683115,1
465973,0.7749749,-6.321194,0
476083,-1.9636815,1.3835377,1
612473,-4.384797,2.9589555,1
622143,3.1648672,1.3111249,0
624413,1.4726608,-4.012004,0
624453,3.5732434,1.3073652,0
681243,-1.0625504,2.4214647,1
685063,-2.9419892,3.7731676,1
704413,-0.79613334,-1.6789086,0
717313,-5.561071,0.24220286,1
742143,-4.0900025,6.8441377,1
754864,3.5732434,1.3073652,0
755296,-0.95057845,2.5577703,1
755991,-2.57201,2.0696688,1
756161,-1.0939797,2.1442344,1
759251,-7.0587907,5.0710993,1
771502,-1.60361,-1.5786885,0
775142,3.8088286,1.6227976,0
781293,3.5732434,1.3073652,0
786764,-2.167458,3.8708026,1
788098,-1.7065614,0.9156447,1
788524,-3.5554316,6.37745,1
793517,3.8088286,1.6227976,0
794815,-1.404963,2.4956906,1
797835,-0.6282702,1.5956495,1
807095,-6.5602117,14.314006,1
813286,-3.2774196,5.1534038,1
814256,2.5592744,-0.082021266,0
816653,-3.404958,2.03036,1
817652,-2.2926369,-1.3751731,0
817685,-1.892758,2.457018,1
819284,-2.2938845,0.7144003,1
822441,-1.8112639,0.8119037,1
863841,0.5713408,-2.9761872,0
868651,-0.98268807,1.219862,1
883761,-3.1109793,3.1556447,1
887691,-1.6664277,0.99608374,1
926601,-2.8818338,2.2611985,1
939091,-2.9959185,7.0888047,1
967501,3.5732434,1.3073652,0
972651,-5.5274506,-1.6748222,1
973531,-2.3675082,-1.250657,0
1002571,-0.6712146,1.2015237,1
1024601,0.21815853,-2.6018763,0
1077971,3.8088286,1.6227976,0
1171621,-2.4174068,4.648277,1
1175221,2.5592744,-0.082021266,0
1237411,3.5732434,1.3073652,0
1337371,1.9565517,0.59981215,0
1344951,-4.3416085,2.9509559,1
1367531,-5.0096498,3.642232,1
1386201,-2.5792787,-0.9307432,1
1399381,-1.8187466,1.3938853,1
1426921,0.6730482,-3.286706,0
1435461,-3.5772932,3.0123382,1
1440641,3.8088286,1.6227976,0
1621271,-2.403777,-0.730572,1
1652541,-4.166833,7.821966,1
1665531,2.5592744,-0.082021266,0
1688351,-0.7950395,2.095262,1
1754641,-3.4922712,-0.07037014,1
1819261,0.05157906,-1.5194479,0
1826361,-1.6146265,1.9337827,1
1914301,-1.4061481,2.9328592,1
1917731,-6.3784657,6.371164,1
1947301,-2.6351264,3.7937493,1
1994321,-2.5335789,2.2031553,1
2032411,-2.510706,7.2492657,1
2063181,-0.0021469733,-2.6177392,0
2127651,0.17341541,0.64829564,0
2188001,-0.9478615,2.5168211,1
2224271,-1.2243564,3.2543464,1
2261261,-2.0479107,3.7950962,1
2315131,-2.561352,0.6321966,1
2405311,3.5732434,1.3073652,0
2425231,1.1755008,-1.4990379,0
2465361,-0.38531387,1.0819681,1
2467791,-4.282261,7.6160603,1
2529971,-4.9001446,1.4932257,1
2570001,0.47026616,-1.8218724,0
2729061,-4.3182836,6.085092,1
2735591,-2.6027124,-0.4675854,1
2768501,-1.7042562,4.963847,1
2884771,-3.7140653,-0.62185943,1
2890961,-3.1730292,0.6752963,1
2955691,-1.087512,1.279676,1
3108351,-3.5632994,2.1094375,1
3158131,-0.9945917,1.8616611,1
3246961,-0.89700955,2.050755,1
3408951,-0.6769153,1.7835925,1
3459051,-7.399642,23.211514,1
3554721,-2.252813,1.8447441,1
3616001,-5.6285,4.6515107,1
3630501,-1.7403785,2.1491148,1
3711001,-2.6263704,6.908564,1
3817401,3.5732434,1.3073652,0
4012161,-3.5515597,10.206055,1
4072401,3.5732434,1.3073652,0
4077671,-3.5200427,4.2702303,1
4218881,-2.6871717,2.377569,1
4243691,-3.5841405,0.1174238,1
4357271,3.5732434,1.3073652,0
4491811,-1.1072465,2.5554702,1
4591161,-1.2327344,1.0853057,1
4755321,-1.2556397,3.3346908,1
4834711,-1.0486621,2.3345387,1
4847281,-0.9090871,-0.5755846,0
4848301,-6.883126,2.0644195,1
4898091,-3.2133622,3.9083042,1
4900391,-2.3852046,0.13040297,1
4906211,3.5732434,1.3073652,0
4937061,3.5732434,1.3073652,0
4969501,3.5732434,1.3073652,0
4970411,-5.9277253,7.195423,1
5031151,-4.1901164,6.2084756,1
5120691,-4.852668,5.1345525,1
5149711,-1.3217705,-0.72515,0
5226191,-1.3217705,-0.72515,0
5360012,-3.0285678,8.336289,1
5392522,-6.29248,3.4130304,1
5409972,-1.4129716,1.9660007,1
5411042,2.3884132,-1.2196597,0
5474222,-0.97685283,-4.3902516,0
5477342,-1.9954295,2.4796078,1
5489672,-2.8024704,-0.9523034,1
5496172,-2.7749412,1.8453428,1
5516892,-1.1672971,2.9485912,1
5526692,-1.7301712,5.1548467,1
5611932,0.51211876,-1.7872821,0
5618162,-4.6304083,3.6911862,1
5680622,-2.0075276,-2.6592882,0
5686612,2.2461455,-1.3327928,0
5694822,2.6438618,0.8540162,0
5695032,-3.4824398,1.9643087,1
5695222,-0.5288363,1.7800707,1
5744282,-1.8112639,0.8119037,1
5744772,-1.0381616,2.3216174,1
5749002,-1.5943015,1.6072708,1
5774252,-1.2175566,3.4923189,1
5780202,-1.8319211,2.058433,1
5794002,-0.9206966,-3.0112813,0
5839882,-1.0711877,-1.7143744,0
5849252,-2.8890526,0.5688962,1
5880462,-7.1413274,15.879483,1
5907272,-2.35301,3.398511,1
5952352,1.0550458,-5.097501,0
5977822,-1.5430658,-0.7720752,0
5988062,-4.635205,6.0053735,1
5998492,-2.6436484,1.0873821,1
6004542,0.032747366,-1.905222,0
6044272,-3.1807868,5.3814545,1
6073052,-1.0282634,2.5818067,1
6077902,-0.072346956,0.9837424,1
6097272,-0.33763355,1.6941634,1
6102652,3.5732434,1.3073652,0
6107302,-2.7443745,5.6548824,1
6107392,-0.50745124,1.9358927,1
6107422,-0.7437734,1.8251394,1
6111952,-0.8445204,2.0404413,1
6134882,-5.434476,6.190519,1
6144142,0.31557456,-1.9205406,0
6166042,-2.3469622,3.1739614,1
6174712,-1.1683489,3.086551,1
6203722,-1.2199932,-0.6327221,0
6266142,-1.0154133,2.845235,1
6321752,-1.8811256,1.243626,1
6393032,1.3544929,-0.35834995,0
6433472,-3.4770396,3.9873936,1
6442462,-1.3838713,2.6754253,1
6476742,3.5732434,1.3073652,0
6509832,-2.2337053,1.8391815,1
6510642,-2.402396,2.4367814,1
6531902,-5.3716702,3.8879445,1
6567962,-0.53857327,1.8919748,1
6612542,-0.6800074,2.0123575,1
6691762,3.5732434,1.3073652,0
6692952,-0.6599406,2.4063191,1
6730222,3.5732434,1.3073652,0
6735142,3.5732434,1.3073652,0
6761862,-1.8022773,1.4395677,1
6794502,-2.3273435,1.2497753,1
6842112,-0.6076445,1.2812343,1
6872422,-1.6669494,-0.39735103,1
6942722,-0.38444126,-0.51543224,0
6973182,-2.0436976,2.3142653,1
7005172,-1.1283512,0.6053701,1
7009202,-0.69312316,2.0993285,1
7050962,-0.8208709,2.6096766,1
7091082,3.1648672,1.3111249,0
7177512,3.1648672,1.3111249,0
7212562,-1.5169321,2.4984443,1
7215512,-3.50763,7.7597733,1
7227662,-1.458994,-0.9212122,0
7228882,-0.33763355,1.6941634,1
7262682,-0.49971813,1.8269578,1
7309052,3.5732434,1.3073652,0
7313362,3.5732434,1.3073652,0
7318362,-0.80080414,2.3419676,1
7322852,-0.99972767,-2.1355133,0
7383122,3.8088286,1.6227976,0
7394922,2.5592744,-0.082021266,0
7401212,-0.3329717,-2.952566,0
7424642,-3.7824452,3.4318776,1
7432912,-2.2048552,1.5055699,1
7465112,-0.660595,1.074948,1
7467272,-2.7578733,2.9953015,1
7474622,-0.7707183,1.5993952,1
7480172,0.11696621,0.7487979,1
7481102,-2.3303535,0.22937092,1
7511002,-1.7700317,0.5976713,1
7587032,-5.042614,6.9834504,1
7598582,-1.9136981,1.557219,1
7681682,2.5592744,-0.082021266,0
7702542,3.2412431,-13.857062,0
7730802,3.1648672,1.3111249,0
7744362,0.5012238,-2.3262174,0
7744592,-1.8523797,1.327654,1
7796912,3.1648672,1.3111249,0
7830742,-1.3217705,-0.72515,0
7847192,-5.6605816,6.105113,1
7864222,3.5732434,1.3073652,0
7900732,-0.8018134,2.4688895,1
7901142,3.5732434,1.3073652,0
7950832,-1.2864028,4.1282177,1
