user_id,gcn2d_x,gcn2d_y,cluster
767,1.7527131,-2.7572427,0
1605,-2.9719026,2.4355679,1
3634,-2.0155509,-0.31855956,1
5808,0.7443093,-0.9281847,0
9774,-1.9683043,0.026829276,1
13261,0.19121937,-0.71829927,0
13602,-1.1443158,-3.457594,0
43603,-2.9719026,2.4355679,1
66873,-1.6671889,-3.0134225,0
287713,0.88391656,-1.5449688,0
612473,-6.026044,-3.2106178,1
618353,0.15458433,-2.4588814,0
621573,-5.6265726,-0.18817376,1
621713,-2.9719026,2.4355679,1
622123,2.2078943,-2.7951097,0
624413,-2.9719026,2.4355679,1
624453,-2.9719026,2.4355679,1
629133,-4.9884267,0.79229295,1
640893,3.9050474,-5.2145033,0
645503,-2.6216078,1.3890406,1
651403,0.08666514,-3.8788564,0
657433,0.13050549,-0.6305206,0
659883,1.2604797,-2.744248,0
683523,-2.9719026,2.4355679,1
685063,-4.0352235,-1.3877327,1
704543,-2.1064286,0.12493554,1
717313,-4.865222,0.14872083,1
735213,-2.007537,-4.5317707,0
742143,-5.718128,-3.1740484,1
755113,1.5590718,-0.6692555,0
755991,-2.9719026,2.4355679,1
756373,1.5590718,-0.6692555,0
759251,-3.7694156,-2.9242325,1
764013,-1.7576228,-0.573634,1
779302,-1.4531784,-0.40564466,1
779609,-5.480824,-2.0323153,1
783891,-1.0955759,-1.7119186,0
784628,-1.3781099,-0.8030915,0
786386,-2.666036,-0.10673012,1
786764,-6.0944896,-1.1237183,1
787321,-1.4151531,-5.076816,0
788524,-7.9498863,-0.70684516,1
794808,-3.1529331,0.1908138,1
794815,-1.5054133,-0.44163534,1
797835,-2.578993,0.13164623,1
797975,-2.0387533,0.10754546,1
804295,-2.9719026,2.4355679,1
807095,-4.744759,-3.010964,1
808549,-2.9719026,2.4355679,1
810424,-2.5808384,0.17461084,1
813286,-5.7555156,-3.6465292,1
816653,0.30658653,-3.7348304,0
817652,-2.9719026,2.4355679,1
819284,-3.8821936,-3.060564,1
823036,-2.7948332,-0.061883707,1
859081,-2.9719026,2.4355679,1
875971,-0.011447181,-2.5917392,0
909901,-2.7305195,0.15544248,1
939091,-2.4898784,-0.79349047,1
972651,-6.4529114,-5.0299034,1
1044241,6.301969,-6.160918,0
1120611,-2.9719026,2.4355679,1
1171621,-4.8835373,-0.9614929,1
1223101,-2.9719026,2.4355679,1
1297531,-3.8718014,-4.3502836,1
1344951,0.07125399,-5.4669642,0
1367531,-1.9919282,-6.5527782,0
1417401,2.7132752,-3.3007975,0
1417921,-3.0361235,-2.833245,1
1434251,-2.2292738,-0.73932755,1
1435461,-0.7697797,-2.673553,0
1462681,-2.434164,-0.011244792,1
1467621,-2.6216078,1.3890406,1
1488031,-0.42363268,-1.1240585,0
1652541,4.061289,-4.3828635,0
1716121,0.88391656,-1.5449688,0
1717291,-3.9543998,-1.9380108,1
1731811,2.0388997,-0.65145934,0
1774231,-1.1874976,-3.4878252,0
1820451,-0.99770427,-1.524972,0
1825671,-1.4343573,-1.7206637,0
1914301,-3.603054,-0.6382677,1
1917731,5.603649,-6.178576,0
1947301,-1.8633443,-1.3999659,1
1969261,2.4834216,-2.881308,0
2032411,-6.2755933,-0.6760041,1
2067661,-3.6132596,-4.13912,1
2097571,2.2235448,-3.7677996,0
2105131,0.27617145,-0.40038526,0
2144891,-2.5635417,-0.24726205,1
2197351,-0.8085047,-2.2808347,0
2207861,-2.9719026,2.4355679,1
2224271,-2.3683825,0.25515714,1
2276201,-4.9884267,0.79229295,1
2336931,0.7443093,-0.9281847,0
2400631,-5.6414604,-8.308827,1
2467791,-8.059989,-3.013792,1
2622551,-4.9884267,0.79229295,1
2718501,-4.7804103,-0.45913365,1
2735591,-3.0771337,-2.7448723,1
2753341,-4.9884267,0.79229295,1
2768501,-6.2177906,-5.204725,1
2798701,-1.4665344,-2.406179,0
2833551,-2.434164,-0.011244792,1
2884771,0.7502871,-0.27837595,0
2890961,-6.1986737,-2.3611467,1
2908591,-2.9076052,-0.4242903,1
2921931,-2.9719026,2.4355679,1
2931551,-2.3425303,-1.0880376,1
3049451,0.092242755,-0.42753956,0
3056201,2.1936197,-0.8550435,0
3058701,-0.4166314,-0.6789115,0
3108351,-4.237883,-1.9932199,1
3349241,1.9386593,-2.8752518,0
3459051,-33.41424,0.09892683,1
3497941,-0.916911,-0.3782667,0
3554721,-3.19388,-0.40904427,1
3768771,4.074744,-2.534469,0
4004901,-2.9719026,2.4355679,1
4012161,-9.753669,-1.5199924,1
4073591,1.3221277,-0.44504088,0
4077671,-2.322986,-1.5092272,1
4135401,-3.2945118,-0.4193063,1
4170491,-5.1471977,-2.3000731,1
4218881,-2.8620543,-0.037689585,1
4529151,0.56394416,-2.4418077,0
4553061,-8.747771,-1.8114586,1
4620451,-2.1328216,0.21356583,1
4755321,-2.6212564,0.17465232,1
4848301,-4.9884267,0.79229295,1
4898091,-5.656194,-3.1626809,1
4906211,-2.9719026,2.4355679,1
4937061,-0.7439418,-0.87050647,0
4969501,-4.627178,-0.5865252,1
4970411,-1.468508,-4.0986676,0
5031151,-3.67063,-2.4376736,1
5045421,-2.3649707,-0.06293346,1
5120691,-3.293586,-2.7244682,1
5242711,0.54932433,-1.2079158,0
5360012,-5.6088853,-0.7567346,1
5392522,1.4139844,-3.8833342,0
5405362,1.6674035,-1.7676533,0
5411042,-3.6827888,-0.8167333,1
5468322,1.5590718,-0.6692555,0
5474222,-2.9719026,2.4355679,1
5477342,-1.5332197,-0.31958166,1
5482372,-2.6216078,1.3890406,1
5516892,0.27617145,-0.40038526,0
5526692,-2.9352818,-0.59012455,1
5546982,2.518808,-3.9404745,0
5560742,-0.2592897,-0.39256206,0
5569742,-2.2254243,1.1361816,1
5602932,-2.9719026,2.4355679,1
5618162,-2.9719026,2.4355679,1
5652692,-4.3418856,-1.779192,1
5695032,-2.98101,-2.138834,1
5703342,-1.9480315,-2.3595345,1
5725012,-2.951486,-1.9428496,1
5741722,0.5832275,-1.6804656,0
5770442,0.19057344,-3.9195735,0
5774252,-5.3757415,-0.4554134,1
5780202,-2.4113295,-0.32039762,1
5780702,-4.78739,-1.5700909,1
5794002,-3.9258027,-0.550254,1
5820162,-2.354115,-0.10759379,1
5850542,-1.7401862,-0.022608344,1
5864792,-3.2295308,0.03493632,1
5907272,-0.3189843,-4.5553007,0
5953552,-3.109383,0.035640944,1
5981342,-0.7198482,-1.1533353,0
5988062,-6.027953,-3.1077068,1
5998492,-3.0451634,-1.6934813,1
6004542,-2.93217,-0.4301964,1
6027752,-1.9396831,-0.59161323,1
6044272,-4.865222,0.14872083,1
6083342,-3.6463654,-3.0471735,1
6097272,-4.3912725,-0.2807626,1
6103232,0.7443093,-0.9281847,0
6107302,-7.8243847,-2.2602193,1
6107422,-4.176793,-4.138656,1
6111542,-4.0136404,-1.2430605,1
6134882,-4.3706803,-2.6620688,1
6158872,-4.2024484,-2.500525,1
6175882,-1.0842946,-4.446192,0
6266142,-2.9089313,-1.3733038,1
6369312,-1.9805967,-0.572829,1
6433472,-2.2180734,-0.15386261,1
6512482,-0.9049762,-1.3469853,0
6603142,-1.0103763,-8.1351595,0
6628702,-0.50722605,-1.1672065,0
6653022,-3.4774435,-5.3874016,1
6691762,-3.958046,-4.5469112,1
6842112,-2.7365732,-3.9452455,1
6883122,-0.073671386,-6.174002,0
7005172,-6.023401,-0.43145192,1
7009202,-7.539526,-0.19838797,1
7015112,-4.9884267,0.79229295,1
7055782,-2.9719026,2.4355679,1
7215512,-6.6622844,-2.5781798,1
7235612,-4.6835427,-1.1883693,1
7243782,0.14657086,-0.5409428,0
7272252,-2.6409445,-2.812193,1
7280572,2.7227874,-3.6019201,0
7297172,-2.9719026,2.4355679,1
7301112,-2.9719026,2.4355679,1
7309052,0.1109548,-3.2739496,0
7318362,-1.9683043,0.026829276,1
7401212,-0.25547427,-0.8469316,0
7419552,0.13864665,-0.54587656,0
7424492,0.36081028,-0.6021699,0
