user_id,gcn2d_x,gcn2d_y,cluster
767,-1.6963973,0.0726009,0
1605,5.6443524,0.28579006,1
13261,2.0759463,1.4866475,1
13602,-1.6904488,2.3500404,0
287713,-2.756676,-3.5591185,0
612473,3.897709,4.989005,1
618353,-4.4704533,-2.1883245,0
621573,2.6310709,3.18071,1
622123,-3.7281272,-1.9606322,0
624413,5.6443524,0.28579006,1
624453,5.6443524,0.28579006,1
629133,5.730534,3.2728999,1
640893,5.6443524,0.28579006,1
657433,0.32875872,-0.35953906,0
717313,2.7166924,-4.1023574,0
742143,9.114242,10.604897,1
755113,-0.038941186,-0.98930943,0
755991,5.6443524,0.28579006,1
756373,-0.038941186,-0.98930943,0
759251,18.596226,10.195954,1
764013,1.8567526,2.6664066,1
786764,1.9236411,2.4247851,1
787321,-1.7470567,3.4276104,1
788524,3.1874123,3.0477977,1
794808,1.7811997,2.1147566,1
794815,2.7493055,2.3214083,1
797975,1.5540547,1.2109318,1
804295,5.6443524,0.28579006,1
807095,11.606793,10.863296,1
810424,1.6343644,1.9546691,1
813286,5.472877,6.002052,1
816653,-0.9961449,1.7791517,0
819284,1.894866,3.9578083,1
859081,5.6443524,0.28579006,1
909901,1.9853742,2.1678286,1
939091,6.779846,6.6953425,1
972651,7.028737,7.2067113,1
1044241,-7.310252,-2.3354719,0
1120611,5.6443524,0.28579006,1
1171621,3.2770283,3.5909758,1
1297531,-0.915105,3.5083418,1
1344951,-6.3622456,0.06385842,0
1367531,-1.783022,4.3425045,1
1417921,4.087646,4.705685,1
1435461,-6.476641,-3.102159,0
1488031,0.16390024,-0.8074802,0
1652541,9.030919,1.7541941,1
1716121,-2.756676,-3.5591185,0
1717291,3.4813359,2.8715475,1
1731811,-0.36756113,-2.489182,0
1774231,3.5484254,3.0761979,1
1825671,1.92712,1.9529815,1
1917731,-4.3689003,-0.55119866,0
1947301,1.8772073,3.000383,1
2032411,2.4355066,4.4741864,1
2067661,5.6443524,0.28579006,1
2097571,3.0544076,2.605753,1
2197351,0.7633888,1.7673006,1
2207861,5.6443524,0.28579006,1
2276201,5.730534,3.2728999,1
2400631,-4.565648,5.050518,0
2467791,8.887109,9.389479,1
2622551,5.6443524,0.28579006,1
2718501,2.5527997,3.5002527,1
2735591,5.6443524,0.28579006,1
2768501,5.3460526,7.3960204,1
2833551,1.2622719,1.7370253,1
2884771,-1.7963083,-3.6135545,0
2890961,5.3290105,4.541407,1
2921931,5.6443524,0.28579006,1
2931551,1.9528804,1.4477837,1
3058701,0.01890324,-0.9799514,0
3108351,3.6891992,5.421936,1
3349241,-4.976413,-2.9971018,0
3459051,12.512046,10.95384,1
3497941,-0.473708,-0.31162098,0
4004901,5.6443524,0.28579006,1
4012161,2.413324,5.289454,1
4077671,-5.8119555,-1.4557983,0
4135401,1.9981887,1.4073763,1
4170491,3.5765655,3.10702,1
4218881,2.0759463,1.4866475,1
4529151,-2.3637648,-2.5401764,0
4553061,2.5060866,6.198365,1
4755321,0.6910675,1.0237025,1
4898091,6.322567,7.1065774,1
4906211,5.6443524,0.28579006,1
4969501,5.6443524,0.28579006,1
4970411,1.4744458,3.2991889,1
5031151,3.282392,3.525303,1
5120691,10.085807,8.326063,1
5242711,-0.39175075,-1.8266008,0
5360012,2.8223445,4.028868,1
5392522,-1.9069879,0.43108478,0
5468322,-0.038941186,-0.98930943,0
5526692,0.061048836,-0.29613075,0
5546982,-3.4306061,0.19652551,0
5560742,2.2212327,0.6468163,1
5618162,5.6443524,0.28579006,1
5652692,0.43423238,2.6803102,1
5741722,1.39437,3.4862075,1
5774252,2.5472813,3.4984019,1
5780202,0.33743736,1.5003309,1
5820162,0.9995966,0.93452626,1
5850542,2.0759463,1.4866475,1
5864792,1.3706723,1.3678641,1
5907272,0.71547765,3.4751105,1
5981342,-1.8380914,-3.592401,0
5988062,6.0082297,6.0965085,1
5998492,1.4112586,1.7660556,1
6004542,-0.53991544,-1.3438891,0
6044272,2.7166924,-4.1023574,0
6097272,2.9278362,3.04193,1
6103232,1.1086636,0.708642,1
6107302,5.6982617,6.693671,1
6107422,-6.3126793,0.80789083,0
6111542,2.2863178,-3.3607407,0
6134882,-5.7663503,-1.9482998,0
6158872,3.5110183,3.022981,1
6266142,0.1851651,0.30205497,0
6369312,0.86852443,1.7076166,1
6433472,-2.1768312,-1.9673777,0
6603142,-8.379038,-3.7847497,0
6628702,0.56587505,1.3827556,1
6691762,4.620807,4.419999,1
6842112,3.962073,4.37439,1
6883122,4.134098,3.8221197,1
7005172,2.6366775,2.8034434,1
7009202,1.3757657,2.329921,1
7015112,5.730534,3.2728999,1
7055782,5.6443524,0.28579006,1
7215512,2.9540675,4.300288,1
7235612,0.75515956,3.5078173,1
7272252,4.4756927,2.6168118,1
7301112,5.6443524,0.28579006,1
7309052,2.5836983,3.6092923,1
7401212,0.6177819,-0.33549166,0
7419552,0.6159618,0.17958644,0
7424642,4.165128,5.748468,1
7477752,-5.236513,-0.7163378,0
7506382,1.8673364,1.5922599,1
7560472,5.6443524,0.28579006,1
7587032,3.7367349,4.378406,1
7807292,-1.1130022,3.7303548,1
7847192,5.6443524,0.28579006,1
7864222,-2.0862572,-3.7011337,0
7891552,-2.297549,-0.79492754,0
7892372,5.6443524,0.28579006,1
7900732,-0.55481964,2.3108625,1
7950832,1.7570733,1.8933498,1
8039552,0.894147,-1.0634577,0
8096412,5.6443524,0.28579006,1
8197942,2.652988,2.6956177,1
8198912,2.2863178,-3.3607407,0
8224502,-0.19545776,2.450046,1
8415732,-0.038941186,-0.98930943,0
8442372,-0.7704206,0.11099693,0
8447362,-2.7236407,-0.7968823,0
8457092,5.6443524,0.28579006,1
8490022,-1.2608202,-3.8307,0
8510242,4.7742867,5.496057,1
8526952,1.3920649,2.1276906,1
8556262,-2.756676,-3.5591185,0
8592732,5.6443524,0.28579006,1
8593912,1.556325,1.9234147,1
8619542,3.990534,4.944502,1
8639012,3.9948256,4.0360723,1
8715542,-6.985907,-3.7138455,0
8736882,4.8099504,4.3932433,1
8775672,-3.3992257,-11.578165,0
8787112,-2.0618906,-4.176871,0
8799612,-2.0276158,-3.6431754,0
8815302,2.4548137,2.259105,1
8859092,5.6443524,0.28579006,1
8876152,2.4334214,2.7574592,1
8923182,2.6149507,5.8465652,1
8926182,5.730534,3.2728999,1
8932752,2.1180897,1.7256979,1
8963722,2.981924,4.3074236,1
9013682,-1.4917538,1.9770067,0
9063952,2.1934245,1.9817578,1
9210392,2.0494637,2.7433763,1
9275052,5.6443524,0.28579006,1
9300262,5.6443524,0.28579006,1
9378802,5.6443524,0.28579006,1
9429962,2.1207588,1.7104204,1
9469592,6.05095,5.2860103,1
9484732,4.0179925,3.3551283,1
9486582,5.6443524,0.28579006,1
9544952,-2.5196333,5.31539,1
9624742,6.42072,8.202198,1
9637692,2.696404,3.6318831,1
9651842,2.6928742,2.5510783,1
9654302,5.6443524,0.28579006,1
9735832,0.16390024,-0.8074802,0
9745602,1.8887322,1.2625481,1
9783422,5.6443524,0.28579006,1
9794712,-1.8254719,-3.6074114,0
9884292,2.2212327,0.6468163,1
9907172,4.720673,3.6356697,1
9933702,0.29900238,1.4650351,1
9943312,1.6521406,2.6486716,1
10040232,2.659925,3.4629219,1
10112392,5.6443524,0.28579006,1
10117892,5.6443524,0.28579006,1
10165452,-4.091928,0.41414803,0
10194682,5.6443524,0.28579006,1
10222282,3.8788297,3.8689399,1
10278562,-3.7151082,1.1964575,0
10286782,-3.9474478,0.18610175,0
10292482,1.4524148,0.9656904,1
10294982,3.7648392,2.6625488,1
10340482,-2.2269623,2.3065934,0
10388412,-0.53991544,-1.3438891,0
10463722,5.6443524,0.28579006,1
10469882,2.6192672,1.8628782,1
10720882,2.6192672,1.8628782,1
10781252,2.2863178,-3.3607407,0
10884142,1.6846333,3.403619,1
10964512,2.2863178,-3.3607407,0
11109062,5.6443524,0.28579006,1
11179192,3.480111,5.262489,1
11325152,2.2863178,-3.3607407,0
11347122,-6.7300344,1.5025249,0
11348282,6.7230015,5.901667,1
