user_id,original_author,nb_retweeted
12428,1137819994157453318,2
29283,3630501,3
69053,2890961,2
69053,1494403156628819970,2
610303,15088481,2
627813,755135678422327296,2
651403,533439231,2
702683,2474749586,2
756196,801080366,2
756287,5392522,2
775407,65093772,2
788098,51241574,2
797835,237244779,2
803644,4012161,2
819284,2191000195,2
822013,123504748,4
868651,1323730225067339784,2
868651,1455176358749999104,2
941781,95092020,2
1080161,15088481,3
1171621,420100653,11
1171621,3352886781,2
1194131,22737278,2
1450801,18080108,6
1450801,18809812,4
1450801,568143078,2
1450801,757537572,3
1450801,2784228956,5
1485951,2525593142,2
1536471,801080366,3
1621271,46670048,2
1732201,1892683062,3
1819261,3630501,4
1819261,16285830,2
1947301,912278708349698048,2
1962001,801203059359678464,2
2034901,801080366,2
2063181,18080108,15
2063181,2474749586,2
2063181,707231479047315456,3
2063181,801203059359678464,2
2063181,1532514128992010241,2
2084821,801080366,2
2224271,53435986,2
2224271,2857031384,2
2315131,2474749586,2
2573571,368240745,2
2933891,34317032,2
3058701,18809812,2
3058701,89742111,3
3062691,1639748756,2
3092291,827006450,2
3207091,95092020,2
3459051,17534649,2
3535921,468646961,2
3632161,260478229,2
3906971,533439231,2
4077671,23754018,2
4382701,3245069205,2
4621881,1477731675043946499,2
4937061,454313925,2
4937061,521903527,3
4937061,846454000585244672,2
5339712,801080366,2
5360012,701725963,2
5385802,480635952,2
5388972,211953429,3
5409972,2467791,2
5411042,1092769999,2
5411042,2666969059,3
5411042,1092096524358537217,2
5411042,1093261681801789447,3
5445282,147347769,3
5474222,26036200,2
5474222,2474749586,2
5477342,17001490,2
5477342,3245069205,6
5510112,707231479047315456,2
5516892,803694179079458816,2
5516892,1349149096909668363,5
5627022,801080366,2
5659662,1068831,2
5661732,1185654366478491653,4
5774252,22573600,3
5794002,18080108,4
5794002,21150492,2
5794002,123504748,6
5794002,1060632416434434049,4
5794002,1081945529112821762,2
5794002,1193823126309818368,12
5794002,1324336290159071232,3
5801472,1213227521392558080,2
5839882,45792001,2
5849252,1349149096909668363,3
5864792,1234894951575519237,2
5874292,21150492,10
5952352,755135678422327296,2
5977822,96015193,2
6004542,18809812,2
6004542,154041734,2
6021962,11493452,3
6059142,4012161,2
6073052,1349149096909668363,2
6083442,122128718,3
6097272,611278121,3
6107302,807095,3
6107302,3108351,2
6107302,7424642,3
6107302,16544818,2
6107302,17463923,2
6107302,34317032,2
6107302,34713362,2
6107302,87818409,2
6107302,783719151684685824,3
6107302,791812078730223616,2
6121312,1349149096909668363,2
6124022,1183529141867614210,2
6152482,1508769983546814466,2
6158732,14685924,2
6165492,123504748,4
6174712,241731661,2
6174712,2942481100,2
6219782,611278121,2
6266142,4012161,3
6426052,533439231,2
6460032,456865788,2
6479522,2184934963,2
6531902,344395626,2
6570582,1215871426584027136,2
6863692,123504748,5
6863692,755135678422327296,2
6863692,1366565625401909249,2
6870322,2184819823,2
6877872,260478229,2
6879522,2238117590,2
6931502,622344846,2
6942722,95869752,3
6972812,82638578,2
6973182,19050314,2
6996062,1355721251180961792,2
7101812,15110431,2
7262682,3245069205,2
7262682,1234894951575519237,9
7265112,469182585,3
7349062,757537572,2
7381892,882759681667588096,2
7409032,342668651,3
7424492,16973333,3
7453982,2184934963,2
7453982,766072848268091392,2
7598582,956250134786002944,4
7681672,123504748,5
7725722,801080366,2
7744362,18266688,2
7762952,1113898497357623296,2
7775092,123504748,2
7775092,1193823126309818368,3
7777302,15088481,2
7829912,1323730225067339784,2
7829912,1349149096909668363,2
7890622,18856867,5
7892372,437380093,2
7892372,1179416455600889864,2
7892372,1311983152643137537,2
7922582,55323056,2
7922582,1319157219628216322,2
7922582,1465049698222297089,2
7923432,123504748,2
7940822,317889580,5
7950832,420100653,4
7968152,223416400,3
8039552,801080366,3
8184402,956250134786002944,2
8196332,1366565625401909249,2
8234132,95092020,2
8252022,1085797417641947136,2
8526952,1323730225067339784,3
8526952,1349149096909668363,3
8619542,25474924,3
8619542,150856088,6
8619542,176312000,2
8619542,307755781,2
8619542,920209669,2
8623332,11214332,2
8731592,1731554581,2
8860712,801080366,2
8883702,17471979,2
8926182,1301847712783048705,13
9013682,27049466,2
9013682,123231225,2
9013682,420100653,2
9013682,942654482,2
9013682,1171435454090174464,2
9039792,7825932,2
9059262,2184934963,2
9059262,708201634937987076,2
9070942,15808647,2
9076542,177101260,2
9176452,281160474,2
9259662,850495044,2
9301552,17017636,2
9301552,20172983,4
9301552,374936879,2
9301552,974591474,2
9310682,1459193804918071303,2
9376172,34713362,2
9429962,139715762,2
9429962,2151390708,3
9466892,18929234,3
9466892,89742111,3
9600002,29958529,13
9610442,1001987121463287808,2
9654302,1552067520575799298,2
9697382,963157886,2
9731332,755135678422327296,3
9843732,123504748,2
9843732,3664109892,2
