user_id,original_author,nb_retweeted
2360,956250134786002944,3
2654,19658826,2
9774,956250134786002944,3
12301,824720523904978944,3
12750,14050550,2
13263,34936539,2
13581,15578518,2
20503,18469669,3
20503,927604589909733376,3
22713,191074329,2
51943,956250134786002944,3
69053,1639748756,2
566923,95869752,2
611073,38885578,2
621043,198584761,2
621713,1571068567,3
649943,344395626,2
651403,96015193,2
659883,15414356,2
681293,1474035466555035654,2
718713,420100653,2
755753,66917778,2
759869,17471979,2
762306,380648579,2
784519,6083342,2
792568,111126229,2
797835,237244779,4
797975,15129265,3
797975,21495286,2
797975,34888595,2
797975,344395626,3
797975,1006419421244678144,2
797975,1019974187975430144,5
797975,1045360120987701248,2
797975,1471232646294474763,2
803371,198584761,3
807095,326562333,2
812337,198584761,2
819284,810590628727914496,3
823420,806347865073315844,2
1057511,1490826460365348864,2
1087701,9994232,2
1171621,6883122,2
1171621,11620892,4
1171621,15978689,2
1171621,401775393,5
1171621,420100653,9
1171621,1093298252,2
1171621,1412646787,2
1239971,82188596,3
1367531,1336852817886253057,3
1405251,49223858,2
1518261,21614780,3
1586161,33363034,2
1652541,15110431,2
1819261,1652541,2
2063181,826261914,2
2188001,3005897708,2
2202891,611278121,2
2224271,53435986,2
2276201,1050013960169316352,2
2315131,927604589909733376,2
2354881,18026912,2
2360831,344395626,2
2729061,823825,2
2809321,198584761,2
2884771,2983445711,2
2961431,460416189,2
3246961,956250134786002944,3
3459051,5360012,2
3459051,7009202,3
3459051,16958346,2
3459051,17062028,2
3459051,23754018,2
3459051,44170913,3
3459051,64727768,2
3533231,26074232,2
3533231,608310777,3
3533231,2806327012,2
3630501,14603515,2
3630501,260478229,2
3630501,272566480,3
3632161,17001490,2
4039221,21651982,2
4077671,3459051,2
4135401,330779576,2
4214321,608310777,2
4406381,116817969,2
4507521,2184934963,3
4553061,1892683062,2
4755321,135890983,2
4755321,404700477,2
4755321,3246790436,2
4755321,870629200348274688,2
4937061,47379354,2
4937061,440600577,5
4937061,449600949,2
5149711,1445053273,2
5158981,956250134786002944,2
5160461,19145055,2
5411042,1093261681801789447,2
5477342,159955958,2
5477342,344395626,2
5477342,1006419421244678144,2
5516892,956250134786002944,5
5560742,970207298,2
5564122,956250134786002944,2
5618162,608310777,13
5684122,17534649,2
5695592,956250134786002944,2
5737042,198584761,2
5774252,16832632,2
5774252,66917778,2
5774252,926019424154349568,2
5774252,1089151295397621760,3
5774252,1326889278664658951,8
5780202,1412646787,2
5794002,18080108,4
5794002,123504748,3
5794002,708083649078501376,2
5794002,1095447770104766464,2
5801472,927604589909733376,2
5811192,66804351,2
5850542,21786618,2
5850542,128074569,2
5880102,243821406,2
5907272,817905062,2
5944152,1270133776748855304,2
5959342,15687090,2
5985402,956250134786002944,2
5998492,14855994,3
5998492,216056059,7
6004542,21150492,4
6004542,123504748,2
6004542,1081945529112821762,3
6021962,22737278,2
6027752,198584761,2
6035812,1271189444545175558,2
6073052,956250134786002944,7
6083342,401775393,2
6097272,25960714,3
6097272,44170913,2
6097272,94079202,2
6097272,125486974,3
6097272,198584761,2
6097272,611278121,6
6097272,1092378031,3
6107302,15110431,5
6107302,28567809,2
6107302,34713362,5
6107302,51241574,2
6107302,224495471,2
6107302,783719151684685824,6
6107392,575211694,3
6111952,2184934963,2
6133152,19652551,2
6174712,24335974,2
6174712,94079202,2
6174712,346304908,2
6203722,22140392,2
6246462,465964963,2
6266142,2184934963,6
6284782,198584761,2
6451342,19500405,2
6484742,95869752,2
6568302,15414356,2
6576492,12011422,3
6628702,16664681,2
6634632,275189388,2
6700382,14811775,2
6811252,80802900,2
6843302,33612317,2
6862572,9763482,2
6862572,1089616907970510855,2
6965382,12588712,2
6973182,37115912,2
7002512,1006419421244678144,2
7005172,21060557,2
7005172,31957479,2
7005172,32201814,2
7005172,956250134786002944,10
7005172,1067109570231889921,2
7005172,1148894433380900864,3
7009202,44170913,14
7009202,1361914237,3
7053222,3030452571,2
7068302,1243560408025198593,2
7077402,198584761,2
7077402,956250134786002944,2
7101812,597076862,2
7253382,1471232646294474763,2
7262682,2231699054,2
7281192,60813201,2
7339572,198584761,2
7377622,34713362,2
7385622,1688796138,2
7401212,321954654,4
7401212,1043185714437992449,2
7401212,1213227521392558080,2
7409662,22662550,2
7424492,583573994,2
7438552,90275200,2
7470612,3099852940,3
7506382,766072848268091392,2
7591032,956250134786002944,2
7610172,79749258,2
7622102,927604589909733376,3
7647572,956250134786002944,3
7671832,989830747,3
7776912,608310777,12
7778772,390842981,5
7778772,1006419421244678144,2
7910872,925006951926390784,2
7941592,927604589909733376,2
7950832,15414356,2
7950832,90275200,2
7950832,1892683062,3
7950832,956250134786002944,3
7950832,1426046580507824129,2
7964862,14260960,4
8039552,14294848,2
8070752,1222182373867032576,2
8083722,956250134786002944,2
8087492,19918353,2
8108972,344395626,2
8110892,14855994,2
8110892,593950896,2
8184402,290180065,2
8287732,13139632,2
8349572,21150492,2
8379462,321954654,2
8404572,1232735065404313604,2
8439372,978604706,2
8439372,1219222929743007744,2
8593832,1043185714437992449,2
8593912,17463923,2
8593912,75742264,4
8619542,15578518,2
8619542,20581978,3
8619542,25474924,2
8619542,44170913,15
8619542,94079202,3
8619542,150856088,2
8619542,346304908,2
8619542,1092378031,2
8619542,1309762062,2
8619542,1412646787,3
8619542,1892683062,5
8619542,2490890594,2
8619542,3711591914,2
8619542,785375839965683712,2
8619542,1379744641226969093,2
8619542,1426046580507824129,2
8623332,21373193,2
8721662,273541694,2
8721662,1524736062,2
8731312,408068123,2
8749832,956250134786002944,2
8815302,1420009668559228930,2
8859092,1275065517053636611,2
8878032,4084552173,2
8926182,1301847712783048705,2
8932752,140137815,2
8932752,211953429,2
8932752,344395626,2
8932752,3005897708,3
9013682,14779408,2
9013682,123231225,2
9013682,2341271209,2
9013682,1233150686704988160,2
9039792,956250134786002944,3
9063952,1006419421244678144,3
9179132,855483824351924224,2
9192272,956250134786002944,6
9199732,1892683062,2
9199732,1218486727032967170,2
9228742,1067076549910892558,2
9326142,21786618,2
9378802,31957479,2
9378802,47379354,2
9429962,15088481,3
9429962,344395626,3
9429962,1006419421244678144,3
9576102,136725784,2
9691342,198584761,2
9726032,5988062,2
9726032,19658826,4
9726032,90614279,2
9729112,2352629311,2
9799302,344395626,2
9884292,75742264,2
9884292,290180065,2
9933702,346304908,9
9933702,1412646787,9
9933702,926019424154349568,2
10002852,211953429,2
10034462,956250134786002944,2
10040232,16336224,2
10040232,881615056437297152,3
10118982,22838300,2
10136872,27737215,2
10194392,49996749,2
10254262,198584761,2
10282412,14293310,2
10284332,14106829,11
10284332,21786618,3
10284332,956250134786002944,4
10292482,32913997,5
10292482,123504748,2
10292482,192574768,2
10294982,32671625,3
10294982,59386332,2
10316902,9900222,2
10316902,956250134786002944,2
10388412,863755312033021952,2
10400902,800707492346925056,2
10443052,525671772,2
10443052,791812078730223616,6
10443052,1006419421244678144,2
10469882,1006419421244678144,4
10497392,1524736062,2
10621932,16117029,2
10621932,106711386,2
10669662,16049790,2
10695762,17116809,2
10704242,956250134786002944,2
10710802,956250134786002944,3
10720882,1471232646294474763,2
10755322,198584761,2
10788222,38253336,3
10858472,989830747,3
10908772,17487476,3
10963482,1446591879340912640,3
11066612,2347049341,3
11127002,956250134786002944,2
11127732,21786618,3
11148152,956250134786002944,2
11154512,956250134786002944,2
11170072,290180065,2
11229432,8623332,2
11229432,21373193,2
11319362,138724467,2
11320962,19120852,2
11325152,2184934963,2
11325152,1370404690194731016,2
11344462,1370004282049781760,2
11370482,1323382519560065026,3
11394562,15368940,2
11402552,34888595,2
11402552,956250134786002944,4
11428322,1364845405,4
11484622,2355243272,3
11510852,213367093,2
11571032,250188760,2
11593432,2853461537,2
11615682,1289095826,2
11618032,927604589909733376,3
11719342,2184934963,9
11719342,956250134786002944,7
11726472,18080108,2
11752252,2549878470,2
11782232,2474749586,6
11782232,811229675758505984,2
11793012,1497922992759783431,2
11807922,19500405,2
11864172,250972325,3
11866582,52521572,2
11885662,1089151295397621760,2
11886562,17128658,2
11886562,20428026,2
11886562,75963586,3
11886562,273541694,4
11886562,450409352,4
11886562,563453163,2
11920992,817787882395955200,2
12258652,160856325,2
12301832,341046775,2
12301832,1364845405,4
12470902,843930447663058945,2
12470902,896861650946596864,2
12494842,7215512,2
12503802,1447082040,2
12559332,47951511,2
12559332,956250134786002944,2
12679392,1012392126284324864,2
12729012,198584761,2
12758452,608310777,2
12773072,155814794,2
12787872,420100653,2
12962962,130036197,3
12981432,66804351,2
13017192,28870270,2
13017192,231649709,2
13065342,164160602,3
13065342,164254434,5
13065342,793661894,2
13127632,2355243272,2
13165482,5741722,2
13165482,16935292,2
13165482,522593098,2
13174602,87983041,2
13183132,1426046580507824129,4
13201312,12626962,3
13218102,1346873610875654147,2
13232322,26135056,2
13234112,956250134786002944,2
13316782,1315900032365793281,3
13414442,100938967,2
13436192,18469669,3
13442022,420100653,2
13442022,956250134786002944,4
13493302,4707455307,2
13535082,225265639,2
13535082,2184934963,2
13560282,956250134786002944,2
13596422,1173565591145406464,2
13596582,956250134786002944,3
13599732,15376200,2
13604172,7864222,2
13638052,881879083906289664,2
13766492,2032411,2
13766492,15129265,2
13766492,2393553560,2
13766492,941980603431505921,2
13777772,956250134786002944,4
13900252,21786618,10
13900252,123231225,3
13900252,378643551,2
13900252,1129029661,2
13915612,149346219,4
13915612,1607214534,2
13955432,560452828,2
13989852,22818119,2
14048934,16161679,2
14049972,32671625,7
14049972,242555999,2
14051524,3748882893,2
14052133,506071299,3
14054388,2315830981,2
14061320,1043185714437992449,2
14062180,16210113,2
14062180,555198400,2
14063399,791812078730223616,2
14065803,32671625,2
14071328,956250134786002944,2
14074515,16028241,2
14079113,34888595,5
14082682,2211021048,2
14085290,956250134786002944,2
14090627,592730371,2
14090627,1043185714437992449,3
14094590,85357015,2
14099882,1856616698,2
14100786,956250134786002944,2
14105071,1213227521392558080,2
14116906,38146999,4
14116906,811229675758505984,3
14120016,188103539,2
14131141,3459051,12
14132290,15687090,2
14132290,66804351,5
14132290,223416400,2
14132290,228490495,3
14132290,260478229,2
14132290,384923143,2
14132290,987274804096126977,2
14133912,24528681,2
14135956,20582958,2
14138510,198584761,2
14146054,22737278,2
14146054,23293734,2
14146054,401775393,3
14146054,870629200348274688,2
14150186,2863996955,2
14150376,956250134786002944,2
14159148,17463923,2
14159148,113062227,2
14167388,21786618,2
14167388,22737278,2
14169092,21742742,2
14173299,1252787354177122304,2
14173809,7864222,2
14180138,47285504,2
14180138,170493902,2
14188527,22599438,2
14190884,142294033,2
14194803,47379354,2
14196754,2778661370,6
14198304,1000968684,2
14200004,23459266,2
14200610,956250134786002944,3
14201680,11620892,2
14209041,314481715,2
14214964,937972724563173376,2
14227045,15821742,2
14228300,380648579,2
14230771,21786618,2
14238201,1006419421244678144,3
14238272,2355243272,2
14246502,1468967727238828036,2
14246644,14588121,2
14246644,16336224,2
14246644,87502184,2
14246644,112475924,2
14246644,967254224,4
14246644,2788464770,2
14246644,3119877934,2
14247556,36638077,2
14247924,19722699,2
14247924,170254080,2
14247924,244787462,2
14250699,1364845405,4
14251290,1338662072050044929,3
14254687,1103381042264604672,2
14266598,1267802130225610754,2
14266598,1362819781821407240,4
14268618,1213227521392558080,5
14269008,16925900,2
14269008,369901017,2
14271513,927604589909733376,3
14272020,592730371,2
14273044,956250134786002944,2
14273797,420100653,2
14275562,35117516,2
14280640,956250134786002944,2
14285926,33459116,5
14291408,75517968,2
14291684,61781260,2
14294400,150856088,2
14296270,608310777,4
14299782,22737278,2
14301473,1089151295397621760,2
14301473,1208160128060379136,2
14303901,6083342,2
14303901,282290972,2
14304228,15309804,5
14310238,937972724563173376,5
14310238,963307725789769728,2
14310238,1236041887640936449,2
14314109,611278121,2
14314109,2479226604,4
14314109,1089151295397621760,2
14314815,14779408,2
14314815,121544946,2
14314815,2184934963,3
14314815,956250134786002944,4
14314815,1167826204910673921,2
14314815,1252323309661741056,2
14314815,1308877368627519489,2
14314815,1369996615428108291,3
14317519,18469669,3
14317519,1647573157,2
14317519,2474749586,2
14328161,390842981,4
14328161,1045360120987701248,2
14341287,15088481,2
14341996,1628701333,3
14343017,344395626,2
14346361,956250134786002944,2
14347014,3430381587,2
14360468,1417127950059773954,2
14361568,12588712,2
14361568,1364845405,4
14361568,956250134786002944,3
14362436,198584761,2
14366264,1293674166223241217,2
14383077,198584761,2
14385676,1368952565635891205,2
14394538,956250134786002944,2
14398840,255340030,2
14398840,2915954031,2
14398840,1044738781171961856,2
14404000,931839380079099904,2
14411002,1222182373867032576,2
14412320,198584761,2
14412320,956250134786002944,4
14418109,16933019,3
14430291,90674951,2
14441753,956250134786002944,2
14442220,3138862092,2
14444417,51263592,2
14450709,11178672,2
14450709,15088481,2
14450709,384923143,2
14450818,712353187035004928,2
14452877,1471232646294474763,2
14453704,14296273,2
14453704,16958346,3
14453704,20582958,2
14464919,342099220,2
14464980,2786005869,2
14465203,14050550,2
14465203,15088481,3
14471719,2952649782,2
14472710,1237931757233745921,2
14475241,15309804,2
14476366,956250134786002944,2
14476791,96015193,2
14480376,44170913,2
14480791,368240745,2
14486756,242827267,2
14497300,17650854,2
14498915,17116809,2
14498915,1579809553,2
14514812,1579809553,2
14521979,38612007,2
14525172,926601,2
14533238,608310777,12
14534896,2791628465,2
14538507,1029096279685648385,2
14538808,384953560,2
14546800,810590628727914496,2
14552480,198584761,2
14559745,3100015590,13
14562053,925006951926390784,2
14564828,20729667,2
14567341,198584761,2
14568965,1060208843051950080,2
14570028,1090715513586679813,2
14573456,1378532333930774529,2
14573771,1006419421244678144,2
14578000,22737278,4
14587402,22997097,2
14588121,21786618,2
14592411,366285759,6
14594816,42660725,2
14595574,16786960,2
14597559,318055047,2
14603016,14269008,3
14603016,275189388,2
14603016,910623276778405888,2
14615214,344395626,3
14615214,401775393,2
14623866,1468967727238828036,2
14627862,2635902626,2
14632294,123231225,2
14638851,21786618,2
14650012,956250134786002944,3
14662354,1346125043068248065,2
14667128,25882911,2
14668245,1314540675346698241,2
14670800,2438424109,2
14676835,14565808,2
14676835,1000369692278738944,2
14676907,96015193,2
14678264,344395626,4
14683800,26465800,3
14685685,3046606816,3
14700316,31957479,4
14700316,206420923,4
14700316,357216847,2
14705744,24335974,2
14705744,25960714,5
14705744,44170913,3
14705744,525893577,3
14705744,611278121,2
14705744,1412646787,2
14705744,2479226604,2
14705744,1426046580507824129,3
14707190,11620892,2
14709922,956250134786002944,2
14721460,956250134786002944,3
14721982,525893577,2
14723614,2355243272,2
14726688,15088481,2
14731789,18469669,2
14744754,1271769042802614272,3
14745059,25729274,2
14749520,852390289,4
14751711,831279382052249600,2
14753992,26036200,2
14756888,956250134786002944,2
14757551,1542665564,2
14758527,22737278,2
14764149,48596281,2
14765962,898917341051965441,2
14780737,1400677203138924545,2
14782635,192942213,2
14782635,1086791627463507968,2
14782635,1363016089928523778,4
14784740,67611162,2
14784740,1467080747479666691,2
14788065,80802900,2
14788631,198584761,2
14795444,25960714,2
14796008,263221036,2
14799078,47257935,2
14799078,75742264,2
14799078,95411363,2
14799078,113721008,2
14799078,188104515,2
14799078,192842634,2
14799078,247407600,2
14799078,344395626,5
14799078,565903875,2
14799078,813477602,2
14799078,1006419421244678144,2
14801539,19333454,2
14804672,16664681,2
14804672,16973333,4
14808213,51241574,2
14808213,788075355856773120,2
14808226,4353037300,2
14809484,123504748,3
14810083,368292391,2
14816458,15486485,2
14817102,16675569,2
14817102,19658826,2
14817102,44170913,2
14817102,92932981,2
14817102,93315762,2
14822401,881615056437297152,2
14832465,14933370,2
14834573,2184934963,2
14834573,956250134786002944,2
14837621,19657809,2
14838173,22862623,2
14849333,2184934963,2
14851837,937972724563173376,2
14855994,1263181969472380928,2
14856252,436006103,3
14856951,1283775062,2
14859868,956250134786002944,2
14862639,605960106,2
14864773,2479226604,2
14864828,15414356,2
14864828,49223858,3
14864828,1210318573052166145,2
14865218,344395626,2
14865218,956250134786002944,2
14869353,2238117590,2
14873229,17137628,2
14874722,260478229,7
14874722,950477244,2
14874722,956250134786002944,3
14874722,1167826204910673921,2
14881017,344395626,2
14881017,1421417927769829382,2
14881877,956250134786002944,2
14885540,22695157,3
14886005,16629431,2
14895755,14297863,2
14897840,177583181,2
14902049,21060557,2
14902298,21614780,2
14908758,1006419421244678144,3
14908758,1138558717736042496,2
14911418,555851927,2
14914045,602403521,4
14919424,51241574,2
14924757,10178,3
14924757,956250134786002944,3
14933370,31957479,2
14935529,2762158875,2
14940723,1044241,3
14940723,51241574,2
14941817,2890961,2
14941817,14779408,3
14941817,65946380,2
14941817,956250134786002944,2
14943206,263377607,2
14944543,36113704,2
14957366,15211490,2
14957430,344395626,2
14957430,1327843160,2
14957430,1006419421244678144,2
14957908,1494881704955289601,2
14966990,95869752,2
14967414,1088972974764552192,2
14970326,1412646787,8
14970326,3337913081,2
14971048,961218356174032896,3
14971921,255340030,2
14971921,2926136996,2
14980265,980052164893650944,2
14982131,166374616,2
14982279,1642858368,2
14995864,956250134786002944,2
15000848,15473639,3
15011317,18020011,2
15014596,608310777,2
15016036,65642947,2
15017912,14294848,2
15023095,22737278,2
15024507,61781260,2
15027480,956250134786002944,2
15035209,14246055,2
15035484,140880992,2
15037080,956250134786002944,2
15037080,1006419421244678144,2
15041281,947532375264768000,2
15041965,1688796138,2
15043065,1496854310986125325,5
15045724,60779696,2
15046153,1461469774223925251,2
15050802,1270133776748855304,4
15054975,198584761,2
15055787,84364416,3
15055844,47285504,2
15063486,28381177,6
15067051,160856325,2
15067051,1892683062,2
15069709,21786618,2
15069709,344395626,2
15069709,956250134786002944,5
15071469,80802900,2
15084013,927604589909733376,2
15084643,112047805,2
15084853,16737418,2
15084853,1111829022,2
15085003,333418196,2
15089566,198584761,2
15089566,956250134786002944,4
15090241,139038097,3
15090241,249179268,2
15091490,62575859,2
15091490,179602590,8
15096041,1132832803,2
15106767,1221680852083576833,3
