user_id,original_author,nb_retweeted
9774,956250134786002944,2
10231,2355243272,2
13621,20582958,2
17773,471287735,2
22713,69961657,2
22713,956250134786002944,2
50613,344395626,2
59173,14260960,2
66873,6134882,2
66873,17107553,2
69053,185817496,2
69053,331803536,2
69053,834145309534064641,2
465973,2990125936,2
476083,2396910715,2
476083,1351954028163452929,2
624453,1531708171470905344,2
643753,2355243272,2
685063,9491292,2
696163,2355243272,2
698223,956250134786002944,2
704413,17116809,4
755296,14106829,3
755296,38975663,2
756161,3308920474,2
756287,1004605801,2
797835,237244779,8
797835,456865788,2
809510,1947072912,2
819284,2735591,4
821351,44135322,2
887691,493678717,2
973531,870644269,6
1002571,1347721083726696450,2
1024601,54399803,2
1119741,119384544,2
1171621,5880462,3
1171621,15305044,4
1171621,17607488,3
1171621,41090406,2
1171621,79749258,2
1171621,140252240,4
1171621,216056059,6
1171621,401775393,2
1171621,420100653,11
1296661,1336311897050771456,2
1367531,1336852817886253057,11
1397911,138168339,2
1399381,48093881,2
1621271,19730414,5
1652541,15110431,2
1688351,80802900,2
1914301,3716338821,3
1917731,2730222072,2
1994321,25049056,3
1994321,182385296,2
2063181,18080108,3
2063181,707231479047315456,4
2063181,1355721251180961792,2
2188001,344395626,3
2188001,2184934963,3
2315131,751510293746839552,2
2465361,2207129125,2
2570001,707231479047315456,2
2570001,734703626099232768,2
2576461,8197942,2
2729061,14855994,2
2955691,19658826,3
3158131,32671625,2
3177601,956250134786002944,2
3246961,1090715513586679813,2
3254711,2355243272,2
3408951,160856325,2
3459051,5360012,4
3459051,15193285,2
3459051,17062028,4
3459051,1295310545462099968,2
3616001,620772361,2
3630501,14603515,2
4039221,1398264333113729037,2
4077671,3459051,2
4077671,106284796,2
4147471,14779408,2
4233671,20729667,2
4254951,2355243272,2
4491811,232869373,2
4491811,956250134786002944,5
4500691,1228362463,2
4755321,171699484,2
4847281,868148001046507522,2
4888441,1063839405977337856,2
4900391,2355243272,2
4937061,1342292575307190272,2
4937061,1347533044845051906,2
5149711,1445053273,2
5409972,242555999,2
5411042,1142127602452160512,2
5468322,3514817897,2
5477342,11178672,2
5477342,299273962,2
5516892,803694179079458816,5
5516892,1349149096909668363,3
5611932,1309544809787305984,5
5618162,32549410,2
5618162,36484465,3
5618162,292401164,2
5618162,473916623,3
5618162,875340731505938432,2
5658202,25235151,2
5695222,2562240601,2
5749002,2666969059,2
5774252,1361914237,2
5774252,1468622868032466946,2
5780202,224495471,2
5780202,2355243272,2
5794002,16117029,2
5794002,18080108,4
5794002,123504748,2
5794002,1102468592,2
5794002,707231479047315456,4
5794002,1081945529112821762,2
5794002,1089405460929806336,2
5839882,111954709,2
5839882,121858259,3
5952352,79745758,2
5952352,1424179013472309253,5
5977822,96015193,2
5998492,216056059,10
6039912,707231479047315456,2
6073052,16973333,2
6073052,40789325,3
6073052,97883743,2
6073052,2857031384,2
6097272,611278121,2
6097272,1361914237,2
6102652,7313362,2
6107302,807095,3
6107302,15110431,2
6107302,23922797,2
6107302,162118290,2
6107302,195419597,2
6107302,331803536,2
6107302,380648579,2
6107302,436429668,2
6107392,575211694,5
6111952,1439081204704157705,2
6144142,1122396073555660800,2
6166042,22105603,2
6174712,346304908,2
6174712,2479226604,2
6203722,866958995784970241,2
6240732,1479199834557059077,2
6266142,807095,2
6266142,80802900,2
6266142,2184934963,4
6321752,591211894,7
6349082,23660505,2
6393032,47526275,2
6469212,11203972,2
6509832,284920800,9
6510642,15489945,2
6531902,3140662712,2
6531902,1240233117543211008,3
6567962,19539716,2
6576492,12011422,2
6692952,344395626,6
6692952,811229675758505984,2
6692952,956250134786002944,5
6730222,781293,2
6863692,707231479047315456,2
7005172,307671401,2
7005172,956250134786002944,4
7215512,2648302411,2
7262682,119384544,2
7262682,211953429,2
7262682,956250134786002944,2
7291812,170254080,2
7318362,956250134786002944,5
7322852,151251018,3
7394922,274606076,2
7401212,321954654,2
7401212,594886554,2
7401212,2224079705,5
7424492,16973333,2
7425082,2479226604,2
7465112,704707652383670272,2
7481102,216056059,3
7589052,707231479047315456,3
7703052,75742264,2
7720992,956250134786002944,2
7730802,146215177,2
7748402,19408187,2
7778772,390842981,3
7796912,484663513,3
7796912,2704294333,2
7829912,1194801500498931712,2
7860562,1268280560599867392,2
7900802,1361914237,2
7901142,16400289,2
7950832,18371863,2
7950832,1132832803,2
7950832,870629200348274688,2
7950832,956250134786002944,7
7962452,164554364,2
7964862,25227444,3
8007502,878284831,2
8025532,23128315,2
8039552,15088481,3
8039552,51241574,2
8039552,380648579,2
8070752,48702842,4
8105842,1151154718447669250,3
8112562,39002335,3
8112562,123504748,2
8114362,24235368,2
8252022,956250134786002944,4
8341312,19626893,2
8373192,1077214808,2
8419162,19918353,3
8439372,1125666551858909185,2
8528652,963467932025024512,2
8531352,1058364109832495104,2
8609362,1299007622968901637,2
8619542,17354805,3
8619542,20581978,3
8619542,44288405,3
8619542,150856088,2
8619542,254515782,3
8619542,304856790,2
8619542,529147678,2
8619542,1892683062,2
8619542,1490826460365348864,3
8675372,707231479047315456,2
8749832,2355243272,2
8749832,1154031198089482241,2
8810902,1090715513586679813,2
9001742,295793915,2
9003842,14050550,3
9013682,14779408,5
9013682,27049466,2
9013682,260371201,2
9013682,2836256511,2
9059262,2184934963,3
9199732,25960714,2
9199732,956250134786002944,3
9224352,14927297,2
9358532,803694179079458816,2
9376172,23922797,2
9429962,3459051,3
9429962,15088481,3
9429962,211953429,10
9429962,269858714,2
9429962,344395626,7
9429962,526871737,2
9429962,2184934963,3
9429962,2562240601,4
9429962,727316106843574272,2
9429962,1240233117543211008,2
9429962,1398288465385738242,3
9449272,970994516357472257,2
9466892,18080108,3
9544952,3042498014,2
9560992,258549548,2
9560992,826332877457481728,2
9648652,937422446323314688,3
9722742,297100174,2
9729112,16076032,3
9745602,242555999,2
9745602,956250134786002944,4
9783422,2343897943,2
9843732,1097694473952342022,2
9874942,242555999,2
9898272,525857359,2
9933702,21055261,2
9933702,870629200348274688,2
9964202,1032603119987970048,2
10002852,2151390708,2
10002992,1652541,2
10025982,1045422534739546113,2
10040232,14779408,2
10040232,16336224,4
10040232,881615056437297152,2
10040232,1434154086769831941,2
10070422,19472876,2
10070422,101447362,2
10070422,123504748,2
10125142,123975474,2
10142322,963467932025024512,2
10257602,353773606,2
10284332,14106829,7
10292482,32913997,7
10292482,1384579353217019906,2
10294982,32671625,7
10294982,904408999,4
10328012,534498824,2
10357992,38146999,2
10358132,811229675758505984,2
10388412,123504748,3
10451672,48093881,2
10451672,1090715513586679813,2
10451672,1336503200585633793,3
10475892,3824014109,2
10565952,991298183312617472,3
