Id;modularity_class
1043185714437992449;0
707231479047315456;0
1430211561491206147;0
1355721251180961792;0
18089606;0
278145569;0
34082620;0
34367582;0
15455253;0
91882544;0
1414429021086093313;0
1293905231135342592;0
321954654;0
1187835922118787073;0
1329874107022929922;0
18266688;0
266816841;0
958192618940252160;0
781639819600490500;0
1344356576786866176;0
817158775610179584;0
592730371;0
91583544;0
1171793868;0
879548970082721792;0
1204284617232011264;0
1213227521392558080;0
499154896;0
594886554;0
1367531;0
1026576700610621441;0
826261914;0
523248016;0
37190937;0
1006474869570093056;0
121574367;0
909879719734251521;0
48459553;0
792091207140716544;0
778763106289758208;0
1430139644415467521;0
139283160;0
1329171068196622337;0
179245596;0
18584875;0
4855687055;0
20545835;0
3267456386;0
1242110566841417731;0
125128723;0
334715818;0
1302642769421238272;0
2996253413;0
1430174965643497495;0
282695161;0
195271137;0
896731633704947712;0
1009560837734846464;0
1276363134;0
74114261;0
350822109;0
848276549308739584;0
1005261408;0
1516073632929394692;0
1494528299518803976;0
1361349013027639298;0
2315698776;0
4765364386;0
1116213423266648064;0
27995424;0
1269412228949655552;0
1263604554110832645;0
1518964349041356800;0
3499821328;0
1529147809441644546;0
1112898867241123840;0
700466626844446722;0
824472044913983488;0
1433206393092325376;0
28614262;0
30315515;0
1406234363612725294;0
1518823264025423872;0
3872346202;0
2321411161;0
3320941218;0
883855148136763392;0
776998171;0
43366645;0
226194552;0
1500867239674843143;0
762024240;0
1519722122305675264;0
827987659196944384;0
1519055224182353922;0
1421220785864204289;0
1227068105819611137;0
1348832015660015622;0
14662354;0
4081106480;0
53231656;0
1452760304161525765;0
1120143312931868673;0
1504164805455667200;0
823255657902129153;0
1077019129;0
1417895286882504704;0
33733664;0
1425143338559287298;0
45516657;0
531565758;0
1526392706490060802;0
1497508961016291331;0
758103579286581248;0
828365230195474432;0
53119816;0
1167167109450723328;0
3435940588;0
1525945765717327872;0
1505593407229595650;0
882648784622235650;0
987088394240122887;0
52191473;0
468646961;0
32413360;0
556969755;0
114572222;0
1527955562092183553;0
722970901516427264;0
1353322870802436099;0
1527013545535315972;0
457984599;0
27479025;0
49698174;0
176292487;0
1383054283227140096;0
219820575;0
1511037290637787137;0
40325091;0
1444084047320395778;0
1488711968;0
2955491805;0
480923004;0
1522331810142867456;0
1365846644206444545;0
88042869;0
1356282424313999361;0
1218017255923113990;0
1395257796627558403;0
839981933144731648;0
1033317714;0
16106584;0
238962950;0
21651982;0
118845216;0
3180822938;0
966295099218038784;0
3676047863;0
1343352999943483392;0
24787367;0
1303041213973622785;0
1310982818206547968;0
396725868;0
816652616625168388;0
105523171;0
727234869802205184;0
124730664;0
1239022847521181701;0
1472391399186255878;0
1448347431494569992;0
142500359;0
873764587;0
597006955;0
761413374416683008;0
864241030744473600;0
368463052;0
319901933;0
1533284663753867265;0
32201297;0
755930626566389760;0
1169915707;0
1522197688074518528;0
1519651302753505281;0
90552683;0
1403669634260344832;0
535643852;0
316524950;0
1270654121301942272;0
1518926544021897217;0
35051304;0
50882677;0
822300206469443584;0
1054729040286892033;0
1067002440032165889;0
1518891487773270020;0
936238338356404224;0
3393721071;0
1321865513287393280;0
1399814147064307794;0
835920671762939904;0
1425233323559997448;0
91279573;0
243820194;0
2316004580;0
4492489754;0
1519012655788220416;0
1520035405734858752;0
826142894805381120;0
1379517287917477888;0
1511072616219557895;0
513353300;0
1527799971147309057;0
1020080453552918530;0
2913852935;0
1511837499794116614;0
1468360063291379714;0
1189743457943863296;0
1518980128889610241;0
806681360412778496;0
1492657134852620288;0
2865078826;0
1321822487408074753;0
789512359693938688;0
1405537237723324433;0
43244214;0
1415441569893654528;0
809842469714038786;0
1532877998114078720;0
2792946285;0
1652098129;0
446049542;0
1518674030580027392;0
950712854;0
1473430912322916354;0
1520570132724035584;0
2712623946;0
1500656481397620737;0
1253786190731341825;0
966341696710524928;0
781942836786712576;0
1583545832;0
845681715066613761;0
46705928;0
811619500093276162;0
25278798;0
1543715560894042112;0
1534963758828769310;0
469913850;0
1565741676;0
282220986;0
1213850288;0
752224328104587264;0
1316565953400848384;0
21132359;0
33684125;0
486767465;0
1518600404313022466;0
1209948377699495937;0
837831824470593536;0
1486882991162941449;0
1522752848727060480;0
1324516463919640576;0
1475093473;0
822225433;0
1547589821102637058;0
1191503144238374912;0
525744732;0
1128922951196135424;0
1437050626601635850;0
109400886;0
34135329;0
1519033461327241217;0
22311924;0
3381851620;0
1067145868984356870;0
1250216146848092161;0
585143406;0
1029343963524816899;0
2715949850;0
1519108212787757057;0
708887707380875265;0
931517375144329218;0
4226692462;0
759839107363246080;0
2780053435;0
20857007;0
1269363264535900162;0
930552552302792705;0
16469463;0
1519080385719660544;0
324624698;0
284225672;0
1268184212;0
1081311465557000192;0
1097128565009715207;0
755520532750163972;0
1518935737646948352;0
1519065543227199491;0
3497865853;0
2321134655;0
1259714432;0
1082790600292925440;0
1465079973966868480;0
1521518012779483139;0
80858170;0
1518933650238316544;0
1454861618572140548;0
50948136;0
2910449396;0
2917954661;0
820697856210108416;0
1456082015049027589;0
1518348971726491648;0
1518933534559383555;0
1535075627686051843;0
1336852817886253057;0
1518913948732559362;0
1025041364625633280;0
38080057;0
2694549961;0
1488186562022105088;0
782737922638295040;0
4100827096;0
2505714284;0
923361419487260672;0
