user_id,original_author,nb_retweeted
248896092,352220090,9
248896092,1289518009,4
248896092,2891360559,4
248896092,796419776516128773,2
248903658,961134787,4
248903658,1043185714437992449,6
248911548,2979882645,2
248911548,1164760658992177155,2
248911548,1360225781809623042,6
248929204,1477017632889090048,6
248937236,347939668,6
248937236,573782041,9
248937236,906612325,6
248937236,2218281115,9
248937236,2839713559,4
248937236,3145790697,9
248937236,4321561817,6
248937236,954114364428058624,2
248937236,1034788448970764289,6
248937236,1035954610454884355,6
248937236,1297978868981043201,9
248937236,1438290099947462658,6
248938158,2408162540,4
248959329,1071102246,2
248977424,1349149096909668363,4
248993698,1382912376597479427,7
249013720,260371201,4
249013720,326369670,8
249013720,956779022,6
249013906,917389190328877056,2
249022032,1369120051,33
249022032,2242981712,2
249022032,2298093542,10
249022032,1089808695108747264,4
249022032,1233945701173932033,6
249022032,1311183942037327872,4
249026046,321954654,6
249046341,4874932107,6
249051610,512064886,6
249051610,875629885,19
249051610,884397469,9
249051610,1053760530379350016,4
249052113,380648579,6
249068878,858367015,9
249090055,256694549,2
249090055,289271236,12
249090055,371365112,2
249090055,428486033,6
249090055,621779182,2
249090055,1377836977,6
249090055,2582439872,2
249090055,3039387731,9
249090055,3284211674,6
249090055,934981002321113088,6
249090055,1043140705370234880,6
249090055,1109820876210364416,2
249090055,1138049860681306113,8
249090055,1190012003642949653,6
249090055,1197937000545955841,2
249090055,1343868286010843136,2
249090055,1357866361205129218,8
249090055,1427654558357000192,6
249090055,1433202741317406721,6
249090055,1467877237252935691,8
249090055,1477650142710824965,8
249090055,1487284540099858435,8
249090055,1490581942659862528,6
249090055,1492232637137956864,2
249090055,1498349959640674305,2
249090055,1502889269802663937,6
249090055,1512556740658745346,2
249096721,1467080747479666691,13
249109479,815662243,16
249109479,1361142865728954370,7
249134961,1455163301252452357,4
249147009,1349149096909668363,4
249147009,1486069441259397125,6
249171169,3310505366,2
249174256,1043185714437992449,2
249178938,292810622,2
249179268,334736186,6
249179268,341645176,2
249179268,605384668,2
249179268,1076507779,14
249179268,1205481492,12
249185887,432358556,6
249185887,515998727,4
249185887,522690001,5
249185887,3198349443,9
249185887,3555685408,6
249185887,965452127047995392,6
249185887,1177937445616324608,2
249185887,1284585198198325248,2
249185887,1440191469516513281,2
249185887,1516954030324559878,8
249185887,1532334333251534848,9
249196138,390465110,5
249196138,1442572928,6
249207760,461096837,2
249207760,471287735,6
249207760,1618691779,4
249207760,2881236430,4
249207760,811229675758505984,4
249207760,1200443697348907008,17
249207760,1245741828575543296,2
249207760,1291004352287694848,6
249209710,2423560326,4
249212426,707368308337733632,6
249212426,1293756135770652672,4
249217178,4899060791,6
249227352,1078191404,2
249236062,1421835080813666306,6
249239085,1349149096909668363,12
249261689,795926948,2
249265539,3377489224,2
249268920,3226282347,7
249268920,1280572620690223104,9
249272908,392297951,2
249272908,2184934963,10
